name,bucket,url,cost,company,description
Oviond,Analytics,https://v2.oviond.com/,LFT,DIM&C,LFT Deal
Jepto,Analytics,https://app.jepto.com/clients,LFT,DIM&C,LFT Deal
Hawke AI,Analytics,https://app.hawke.ai/dashboard,LFT,DIM&C,LFT Deal
TruConversion,Analytics,https://app.truconversion.com/dashboard,LFT,DIM&C,LFT Deal
Branalyzer,Analytics,https://branalyzer.com/home,LFT,DIM&C,LFT Deal
Persona,Analytics,https://www.delve.ai/persona,LFT,DIM&C,LFT Deal
Relyft,Analytics,https://www.relyft.co/dashboard,LFT,DIM&C,LFT Deal
Boost.Space,Analytics,https://boost.space/,LFT,DIM&C,LFT Deal
Conduit AI Analyst,Analytics,https://www.getconduit.app/,LFT,DIM&C,LFT Deal
TexAu,Automation,https://app.texau.com/,LFT,DIM&C,LFT Deal
If-So,Automation,https://www.if-so.com/,LFT,DIM&C,LFT Deal
Bit Integrations,Automation,https://subscription.bitapps.pro/wp/,LFT,DIM&C,LFT Deal
ActivePieces,Automation,https://cloud.activepieces.com,LFT,DIM&C,LFT Deal
Traxoft - Image Voting Tool,Ops,https://app.quoters.io/dimc,LFT,DIM&C,LFT Deal
Percept Pixel,Ops,https://perceptpixel.com/,LFT,DIM&C,LFT Deal
Press Ranger,Ops,https://pressranger.com/,LFT,DIM&C,LFT Deal
Blue,Ops,https://blue.cc/,LFT,DIM&C,LFT Deal
BreezeDocs,Ops,https://breezedoc.com/documents,LFT,DIM&C,LFT Deal
SuperOkay,Ops,https://superokay.com/,LFT,DIM&C,LFT Deal
Billed,Ops,https://billed.app/,LFT,DIM&C,LFT Deal
Shorby,Social,https://dash.shorby.com/login,LFT,DIM&C,LFT Deal
UTM.io,Ops,https://app.utm.io/team/5c356fca58c7fd0013f033c3/links,LFT,DIM&C,LFT Deal
plug&paid,Ops,https://www.plugnpaid.com/login,LFT,DIM&C,LFT Deal
RelayThat,Ads,https://app.relaythat.com/home,LFT,DIM&C,LFT Deal
BrandMentions,Automation,https://app.brandmentions.com/,LFT,DIM&C,LFT Deal
FindThatLead,Ops,https://app.findthatlead.com/,LFT,DIM&C,LFT Deal
Happierleads,Ops,https://admin.happierleads.com/,LFT,DIM&C,LFT Deal
WP 301 Redirects,Ops,https://wp301redirects.com/,LFT,DIM&C,LFT Deal
WP Compress,Ops,https://business.peppercontent.io/,LFT,DIM&C,LFT Deal
Marketing Master,Ops,https://dash.marketingmaster.io/,LFT,DIM&C,LFT Deal
Feedback.link,SEO,https://feedback.link/dash/home,LFT,DIM&C,LFT Deal
Scrabin,Ops,https://scrab.in/en,LFT,DIM&C,LFT Deal
wpdatatables,Ops,https://wpdatatables.com/,LFT,DIM&C,LFT Deal
Gamify Route,Ops,https://account.gamifyroute.com/,LFT,DIM&C,LFT Deal
Supercopy.ai,AI,https://www.app.supercopy.ai/,LFT,DIM&C,LFT Deal
Peppertype.ai,AI,https://app.wpcompress.com/dashboard/,LFT,DIM&C,LFT Deal
Copysmith,AI,https://app.copysmith.ai/,LFT,DIM&C,LFT Deal
